Metric ($M),Amazon (Q4 2024 / FY 2024),Apple (Q3 2024 / 9M 2024)

CAPITAL EXPENDITURES
Purchases of PP&E,82999,6539
Finance Lease Additions,854,
Proceeds from Asset Sales,5341,

DEBT SERVICE
Long-Term Debt Repayments,9182,7400
Short-Term Debt Repayments,5060,2985

LEASE OBLIGATIONS
Finance Lease Repayments,2043,
Operating Lease Payments,12341,

LIQUIDITY
Cash & Equivalents,78779,25565
Current Marketable Securities,22423,36236
Non-Current Marketable Securities,,91240
Total Debt,52623,101304
Total Cash & Securities,101202,153041
Net Cash (Cash & Securities - Debt),48579,51737
