Amazon Segments (Q4 2024 / FY 2024)
Segment,Net Sales ($M),Prior Year ($M),YoY Growth,Op Income ($M),Op Margin,Revenue Mix
North America,115586,105514,9.55%,9256,8.01%,61.53%
International,43420,40243,7.90%,1315,3.03%,23.12%
AWS,28786,24204,18.97%,10632,36.94%,15.33%

Apple Segments (Q3 2024 / 9M 2024)
Segment,Net Sales ($M),Prior Year ($M),YoY Growth,Op Income ($M),Op Margin,Revenue Mix
Americas,37678,35383,6.49%,15209,40.37%,43.92%
Europe,21884,20205,8.30%,9170,41.91%,25.51%
Greater China,14728,15758,-6.54%,5562,37.76%,17.17%
Japan,5097,4821,5.73%,2544,49.91%,5.94%
Rest of Asia Pacific,6390,5630,13.52%,2610,40.88%,7.46%

